Name,Type
FinalProgress,Float
CarChampionshipEventsWon,Int
OpusIsland,Int
MiscStats,Int
Options,Int
OnlineRoadTripDestsCompleted,Int
OnlineTimeSpentNotAsKing,Int
DriftZonesTriggered,Int
WheelOptions,Int
MouseLookLeftRightSensitivity,Float
Layout,Int
RumbleSetting,Bool
RewindOnBack,Bool
InvertHandbrakeClutch,Bool
InvertGearUpDown,Bool
InvertAnnaTelemetry,Bool
InvertCameraLookBack,Bool
InvertHornPhotoMode,Bool
BristolAdvancedOptions,Int
ForceFeedbackScale,Float
ForceFeedbackLinearityFactor,Float
UseGamepadSteeringFilters,Float
SteeringSensitivity,Float
InvertFFB,Float
SpringScale,Float
DampingScale,Float
TotalWinnings,Int
BeautySpotsDiscovered,Int
CarChampionshipEventsRaced,Int
RawGameControllerOptions,Int
MouseLookUpDownSensitivity,Float
ClutchDeadzoneOutside,Float
RumbleScale,Float
RawGameControllerAdvancedOptions,Int
DriftZonesTriggered,Int
ShowcasesEntered,Int
TimeInFirstPlace,Int
OnlineWinnings,Int
HighestXPWinInAnEvent,Int
OnlineKingGamesWon,Int
TotalCollisions,Int
OnlineFriendsBeaten,Int
OnlineNumCollisionsInRaces,Int
SpeedZonesCompleted,Int
UpgradesBoardsSmashed,Int
FavouriteRoadTripCar,Int
XPLostToCollisions,Int
StreetRacesEntered,Int
TuningSetupsShared,Int
MostFansFromAChampionship,Int
PhotosTaken,Int
TractionAndStabilityControl,Int
Flags,Int
CurrentCampaign,Int
NumUltimateJTurns,Int
Color,Float
NumSkillTokens,Int
Crowds,Int
Horns,Int
TotalSkills,Int
Focus,Float
NumUltimateWreckages,Int
TotalRepairs,Int
NumUltimateSpeeds,Int
AvgLeftFrontTireTemp,Float
HomespaceTrackId,Int
InitialExperienceState,Int
AvgLeftFrontSuspensionStroke,Floar
NumKingGames,Int
HDRWhitePoint,Float
MaxLeftRearTireTemp,Float
HueShift,Float
AvgRightRearTireLoad,Float
NumUltimateEDrifts,Int
LiveryBackgroundState,Int
LastMultiplayerCar,Int
TimeInAuctionHouse,Int
HighestSkillScore,Int
HorizonLifeConnectionPreference,Bool
AvgRightFrontSuspensionStroke,Float
ColorblindMode,Int
CareerCar,Int
LongestDrift,Float
CurrentRaceId,Int
MaxLeftFrontTireLoad,Float
Braking,Int
WasRateGamePopupShown,Int
LongestJump,Float
RivalsCompletionTracking,Int
HDRBrightness,Float
PlayerCardTitleId,Int
SubtitlesTextSize,Int
Temperature,Float
PlaybackSystem,Int
NumLinearPlayRaces,Int
SubtitlesHighlightKeywords,Bool
MenuMusic,Bool
MaxRightFrontTireTemp,Float
PrivateLicensePlate,Invite
AvgRightFrontTireTemp,Float
DistanceDriven,Float
IsXPIntroduced,Bool
Subtitles,Bool
VOVolume,Int
NumUltimateDrafts,Int
ShowroomControllerTutorialComple,Bool
SamplingMode,Int
FocusMode,Int
LastMessageCenterDay,Int
AvgLeftRearTireLoad,Float
TractionControl,Bool
MasterVolume,Float
RaceStatsId,Int
Creatures,Int
ScreenReaderPlatformOverride,Int
DriverModelId,Int
GPSVoice,Bool
SuggestedLine,Int
MaxRightRearTireTemp,Float
RadioVolume,Float
NumInfectedGames,Int
TotalCredits,Int
XpPendingUpload,Int
NumUltimateNearMisses,Int
TokensHidden,Int
NumUltimateAirs,Int
InvertVerticalCamera,Bool
ShowroomCarColor,Int
MaxRightRearSuspensionStroke,Float
CarLights,Bool
RadioDJ,Bool
AvgLeftRearSuspensionStroke,Float
AuctionsOpen,Bool
MaxBrakingGs,Float
LastRewardedLevel,Int
NumUltimatePasses,Int
TimeInShowroomNatal,Int
IsCreditsIntroduced,Bool
AvgBrakingGs,Float
DamageFuelWear,Int
TimeDrivenInFreeroam,Int
TotalStorefrontPayout,Int
TotalDrivatarPayout,Int
SFXFocus,Int
NumUltimateOneEighties,Int
PerfectAutocrossCount,Int
LastMultiplayerTrack,Int
UpTime,Int
NumRaces,Int
AvgLateralGs,Float
HighestSkillCar,Int
MasterGameVolume,Float
Brightness,Float
CareerCoopPrivacy,Bool
Rewind,Bool
ShutterSpeed,Float
MaxLateralGs,Float
LastMessageCenterMonth,Int
AvgLeftFrontTireLoad,Float
TopSpeed,Int
IsUltimateVip,Bool
TimeDriven,Int
NumPodiums,Int
TimeInAllMenus,Int
Level,Int
BokehShape,Int
TimeInStorefront,Int
CarCollisions,Int
Drivers,Int
MaxLeftRearTireLoad,Float
AvgRightRearTireTemp,Float
CurrentMiniCareerId,Int
LastSuspendTimestamp,Int
Sepia,Float
Steering,Int
Exposure,Float
CurrentNumberOfMessagesDownloade,Int
Contrast,Float
Credits,Int
UseDefaultEffects,Bool
InRaceMusic,Bool
XboxMusicShuffle,Int
TotalWinnings,Int
AIDiff,Int
InitialSetupComplete,Bool
LayerGroupImportCount,Int
AvgRightRearSuspensionStroke,Float
NumVictories,Int
IsVip,Bool
Shifting,Int
NumUltimateTwoWheels,Int
XPBoostEndDate,Int
XboxMusic,Int
GrooveVolume,Float
TireVolume,Float
SFXVolume,Float
TimeInPaintShop,Int
MaxLeftFrontTireTemp,Float
AvgRightFrontTireLoad,Float
StreamerMode,Bool
MaxRightFrontTireLoad,Float
AudioPreset,Int
NumUltimateDrifts,Int
CurrentEventId,Int
SubtitlesBackgroundOpacity,Float
CarVolume,Float
MaxRightFrontSuspensionStroke,Float
Aperture,Float
ShowroomCar,Int
AvgLeftRearTireTemp,Float
Vignette,Float
NumUltimateBurnouts,Int
TimeInUpgrades,Int
NumAuctionHouseTransactions,Int
MajorCollisions,Int
MaxAccelerationGs,Float
TimeInTestDrive,Int
MaxRightRearTireLoad,Float
ClassRestriction,Int
OnlineWinnings,Int
MaxLeftRearSuspensionStroke,Float
StabilityControl,Int
AvgAccelerationGs,Float
MetaDiff,Float
Gamma,Float
TimeInShowroomController,Int
TotalXP,Int
PartyPrivacy,Int
BidsOutstanding,Int
MaxLeftFrontSuspensionStroke,Float
VoiceChatSTTPlatformOverride,Int
MessageCenterVisits,Int
PlayerCardBadgeId,Int
LicensePlateValidationError,Int
RoadTripLocation,Int
PublicLicensePlate,Int
VoiceChatTTSPlatformOverride,Int
ShowroomKinectTutorialCompleted,Int
TimeInTuning,Int
XP,Int
StreetRacesWon,Int
OnlineXPWonFromCleanStreak,Int
GaragePartsValue,Int
TotalLineUpXPEarned,Int
OnlineStreetRacesWon,Int
TimeInShowcases,Int
FavouriteCar,Int
XPSinglePlayerRaces,Int
OnlineTeamRacesEntered,Int
OnlineXPWonFromCleanStarts,Int
MostFansFromAShowcase,Int
LiveriesShared,Int
MostValuableCar,Int
OnlineTimeSpentInFreeroam,Int
OnlineKingGamesEntered,Int
BiggestAir,Int
